idx,ixoneId,BrandName,GlutenFreeYN,KosherYN,PrimarySize,PrimarySizeText,PrimarySizeUOM,ProductDescription,SecondarySize,SecondarySizeUOM,IngredientBreakout,IngredientsStatement,UsageInstructions,Website,UPC12,CountryOfOriginName,CountryOfOriginText,ManufacturerCityPackaging,ManufacturerPhoneNumberPackaging,ManufacturerStatePackaging,ManufacturerZipCodePackaging,HasPanel,HasSupplementPanel,HasNutritionPanel,generalFactPanels,ProcessedOnEquipment,DoesNotContain,NonGMOYN,OrganicYN,VeganYN,WholeGrainYN,UnitCount,CookingInstructions,QRCode,SocialMedia,ManufacturerNamePackaging,ProcessedManufacturedInFacilityStatement,FreeOf,Contains,SugarSweetener,CertifiedBCorporation,ConsumerStorage,ManufacturerStreetPackaging,Allergens,DistributedBy,SocialMediaAddresses,BeeBetterClaim,InFacilityOnEquipmentIncluding,InFacilityOnEquipmentStatement,LiveAndActiveCulture,UseOrFreezeBy,TertiarySize,TertiarySizeUOM,Process,HalalYN,Grade,CrueltyFreeYN,FairTradeYN,PaleoYN,KetoYN,PlantBasedDerivedClaim,BioengineeredYN,HeartHealthyYN,InstructionsAncillary
73,SNL182595,100,100.00,,100,100.00,100,28.10,100,100,94.45,94.45,,100,0,,,,,,,100,100,100,97.56,,,100.00,,,,,,,,,,100,,100.00,,100,,100,100.00,,,,,,,,,100.00,,,,,,100.00,,,,
74,SNL236967,51.10,,,100,46.39,100,24.94,100,100,100.00,71.74,NaN,81.30,100,,,,,,,0.00,100,100,,,,,,,,100,,,100,,,,,,,,,,89.19,100,,,,,,,,,,,,,,,,,,
75,SNL748460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,SNL733135,100,,100.00,100,100.00,100,76.53,100,100,100.00,100,,100,0,,,100,,100,100,100,100,100,99.80,,,100.00,100.00,100.00,,,64.44,,100.00,100,,,,,,,100,,,,,,,,,,,100.00,,,,,,,,,,
77,SNL254983,100,100.00,,100,100,100,13.13,100,100,100.00,100,,100,100,,,,,,,100,100,100,99.16,,,100.00,,,,,,,,,,100,,100.00,,100.00,,,100.00,100,,,,,,,,,,,,,100.00,100.00,,,,
78,SNL714925-I1,100,100.00,100.00,100,80.53,100,10.54,100,100,100.00,100.00,,41.61,100,,,100,,100,100,100,100,100,99.81,100,,100.00,,,,100,,0.00,51.10,71.74,100.00,,100.00,,,,,100.00,,51.10,,,,,,,,,,,,,,100.00,,,,
79,SNL714093,100,100.00,,100,100.00,100,36.42,100,100,,,87.78,85.95,0,,,100,,100,100,100,100,100,96.47,,,,,100.00,,,,,,64.36,,100,,NaN,,,,,,100,,,,,,,,,,,,,,,,,,
80,SNL210518,100,,,100,100.00,100,30.08,0,0.00,92.06,92.06,,100,0,,,100,,100,100,100,100,100,91.10,,,100.00,100.00,100.00,,,,100,51.10,71.74,,,,,,100,,,,51.10,,,,,,0,0,,,,,,,,,,,
81,SNL158815,100,100.00,,100,51.47,100,51.10,100,100,100.00,100.00,,100,100,,,,,,,100,100,100,94.96,,96.90,100.00,100.00,100.00,100.00,,,,NaN,,,,,,,,,100,100.00,,,,,,,,,,,,,,,,,,,
82,SNL745868,0.00,100.00,,0,51.47,NaN,19.07,100,100,100.00,96.19,,,100,,,,,,,100,100,100,94.46,,100.00,100.00,,,,,,,,,,,58.86,NaN,,96.23,,100.00,77.95,100,100.00,100,100.00,,,,,,,,,,,,,,,
83,SNL745863,0.00,100.00,,0,51.47,NaN,19.07,100,100,100.00,96.08,,,100,,,,,,,100,100,100,94.49,,100.00,100.00,,,,,,,,,,,58.86,NaN,,96.23,,100.00,77.95,100,,100,100.00,,,,,,,,,,,,,,,
84,SNL742451,100,,,100,100,100,51.10,100,100,100.00,100.00,82.44,,100,100,100,,,,,100,100,100,,,100.00,,,,,,,,,,,,,,100.00,,,,57.54,,,,,,,,,100.00,,,100.00,,,,,,,
85,SNL250618,100,,,0,100,0,71.74,,,,,51.01,75.81,0,100.00,100.00,,,,,100,100,100,90.80,,100.00,,,,,0,,,,,,100.00,100.00,,,100,,100.00,87.23,,,,,,,,,,,,,,,,,,,
86,SNL245009,100,100.00,,0,100,0,100,,,,,85.95,100,0,100.00,100.00,100,,100,100,100,100,100,96.02,,,,,100.00,,0,,,,100,,100.00,,,,100,,100,,,,,,,,,,,,,,,,,,,,
87,SNL163949,100,100.00,,0,16.59,0,30.29,,,,,43.92,100.00,0,100.00,38.75,100,,100,100,100,100,100,66.91,,100.00,100.00,,,,0,,,,100,,100.00,38.75,,,100,,,,,,,,100.00,,,,,,,,,,,100.00,,,
88,SNL170906,100,100.00,,0,100,0,58.86,,,,,100.00,100.00,100,100.00,43.67,0,0,0,0,100,100,100,98.16,,77.63,,,,,100,,,,0,,100.00,,,,100,,32.47,100,,,,,,,,,NaN,,,,,,,,,,
